阈值 t_1 h_1 t_2 h_2 t_3 h_3                                                                                                                      
1 76.00% 1.30% 72.00% 3.20% 80.00% 1.20%                                                                                                                      
2 77.00% 1.50% 73.00% 3.80% 82.00% 1.30%                                                                                                                      
3 78.00% 1.70% 76.00% 5.00% 83.00% 2.40%                                                                                                                      
4 80.00% 2.40% 77.00% 5.30% 86.00% 4.00%                                                                                                                      
5 82.00% 2.60% 79.00% 6.50% 89.00% 4.20%                                                                                                                      
6 84.00% 2.80% 82.00% 7.40% 92.00% 5.70%                                                                                                                      
7 87.00% 3.00% 86.00% 7.60% 93.00% 6.80%                                                                                                                      
8 93.00% 3.60% 87.00% 7.90% 94.00% 6.90%                                                                                                                      
9 94.00% 4.30% 91.00% 8.00% 97.00% 7.00%                                                                                                                      
10 96.00% 5.20% 92.00% 8.40% 98.00% 7.30%                                                                                                                      
                                                                                              
阈值 t_4 h_4 t_5 h_5 t_6 h_6                                                                                                                      
1 79.00% 0.40% 70.00% 0.90% 70.00% 3.30%                                                                                                                      
2 80.00% 0.70% 76.00% 1.50% 71.00% 3.70%                                                                                                                      
3 81.00% 1.10% 77.00% 2.50% 73.00% 4.20%                                                                                                                      
4 84.00% 1.70% 79.00% 3.00% 82.00% 4.50%                                                                                                                      
5 85.00% 2.80% 81.00% 3.50% 83.00% 5.80%                                                                                                                      
6 87.00% 4.00% 83.00% 4.20% 89.00% 6.40%                                                                                                                      
7 88.00% 4.60% 87.00% 4.70% 90.00% 7.20%                                                                                                                      
8 90.00% 5.10% 88.00% 5.50% 91.00% 7.40%                                                                                                                      
9 92.00% 5.20% 91.00% 6.60% 92.00% 7.50%                                                                                                                      
10 93.00% 5.90% 94.00% 7.10% 94.00% 7.70%                                                                                                                      
                                                                                                                            
阈值 t_7 h_7 t_8 h_8 t_9 h_9                                                                                                                      
1 73.00% 1.60% 79.00% 1.00% 75.00% 1.00%                                                                                                                      
2 74.00% 2.10% 88.00% 1.30% 76.00% 1.10%                                                                                                                      
3 75.00% 2.20% 89.00% 1.60% 78.00% 1.50%                                                                                                                      
4 78.00% 3.20% 90.00% 1.70% 84.00% 2.10%                                                                                                                      
5 79.00% 4.70% 93.00% 3.20% 85.00% 2.60%                                                                                                                      
6 84.00% 5.00% 94.00% 3.60% 87.00% 3.20%                                                                                                                      
7 87.00% 5.80% 96.00% 3.90% 88.00% 4.10%                                                                                                                      
8 90.00% 6.70% 97.00% 4.70% 89.00% 4.60%                                                                                                                      
9 91.00% 7.80% 98.00% 6.90% 93.00% 4.80%                                                                                                                      
10 95.00% 7.90% 99.00% 7.00% 96.00% 5.10%                                                                                                                      
                                                                                                                            
阈值 t_10 h_10 t_11 h_11 t_12 h_12                                                                                                                      
1 73.00% 1.20% 75.00% 0.70% 71.00% 1.20%                                                                                                                      
2 74.00% 1.80% 78.00% 1.10% 72.00% 2.80%                                                                                                                      
3 76.00% 1.90% 82.00% 2.30% 77.00% 2.90%                                                                                                                      
4 77.00% 2.50% 83.00% 2.80% 78.00% 3.80%                                                                                                                      
5 80.00% 4.00% 86.00% 3.00% 82.00% 3.90%                                                                                                                      
6 82.00% 5.20% 88.00% 3.30% 86.00% 5.80%                                                                                                                      
7 87.00% 5.50% 92.00% 3.70% 88.00% 6.30%                                                                                                                      
8 88.00% 5.70% 94.00% 4.50% 90.00% 6.80%                                                                                                                      
9 89.00% 5.90% 96.00% 4.90% 91.00% 7.00%                                                                                                                      
10 90.00% 6.30% 97.00% 5.00% 93.00% 8.70%                                                                                                                      
                                                                                                                            
阈值 t_13 h_13 t_14 h_14 t_15 h_15                                                                                                                      
1 80.00% 1.20% 75.00% 0.60% 72.00% 2.70%                                                                                                                      
2 82.00% 2.30% 76.00% 0.70% 74.00% 3.10%                                                                                                                      
3 84.00% 3.00% 77.00% 1.40% 78.00% 3.20%                                                                                                                      
4 88.00% 3.40% 82.00% 2.40% 79.00% 4.00%                                                                                                                      
5 90.00% 3.50% 84.00% 2.80% 82.00% 4.30%                                                                                                                      
6 92.00% 3.70% 85.00% 3.30% 86.00% 4.60%                                                                                                                      
7 93.00% 5.60% 88.00% 3.40% 90.00% 4.70%                                                                                                                      
8 95.00% 6.00% 92.00% 3.50% 92.00% 5.30%                                                                                                                      
9 96.00% 6.40% 93.00% 4.20% 93.00% 7.70%                                                                                                                      
10 99.00% 7.70% 95.00% 5.30% 94.00% 8.30%                                                                                                                      
                                                                                                                            
阈值 t_16 h_16 t_17 h_17 t_18 h_18                                                                                                                      
